Menu Item,Serving Size,Calories,Cholesterol,Fat,Trans Fat,Saturated Fat,Sodium,Carbohydrates,Fiber,Sugars,Protein,Calcium,Potassium,Iron
Angus Burger,157,410,50,23,1,6,700,32,1,3,18,75,250,3.5
Angus Burger with Cheese,174,470,65,27,1,8,960,34,1,4,21,175,300,3.5
Angus Burger with Cheese and Bacon,186,520,75,31,1,10,1130,35,1,4,24,200,300,4
Original Burger,147,400,45,22,0.5,8,910,32,1,3,20,75,250,3.5
Original Burger with Cheese,164,460,55,26,1,11,1180,34,1,5,23,175,300,3.5
Original Burger with Cheese and Bacon,176,510,65,30,1,12,1340,35,1,5,25,175,350,4
Junior Burger,93,250,20,11,0.4,2.5,450,27,1,2,11,75,125,3
Junior Burger with Cheese,110,300,35,15,0.5,5,710,29,1,3,15,175,175,3
Junior Burger with Cheese and Bacon,122,350,45,19,0.5,7,870,29,1,3,17,175,225,3
Big Harv (Original),251,710,105,45,1.5,19,1870,38,1,5,38,225,500,5
Big Harv (Angus),271,720,120,48,2,14,1430,38,2,4,35,250,500,5
Veggie Burger,142,330,0,14,0.1,4.5,680,32,4,3,20,200,300,3.5
Veggie Burger with Cheese,159,390,15,18,0.2,7,940,34,4,4,24,300,350,3.5
Buffalo Crispy Chicken Sandwich,265,590,45,27,0,3,2060,62,2,19,25,75,600,3.5
Buffalo Crispy Chicken Wrap,304,730,45,33,0.1,6,2400,81,3,18,27,125,550,5
2-Piece Chicken Strips,87,200,30,11,0.1,1,430,15,1,0,12,20,200,1.5
4-Piece Chicken Strips,175,400,60,22,0.2,2,850,29,2,0,23,40,400,3
Crispy Chicken Sandwich,198,500,45,23,0,2.5,960,47,2,6,25,75,500,3.5
Crispy Chicken Sandwich with Cheese,215,550,55,27,0.1,5,1220,49,2,7,28,175,550,3.5
Crispy Chicken Sandwich with Cheese and Bacon,227,600,70,31,0.1,6,1380,49,2,7,31,175,550,4
Crispy Chicken Wrap,237,640,45,29,0.1,5,1300,66,3,5,27,125,450,5
Grilled Chicken Salad,528,180,70,3,0,0.5,460,16,5,9,26,75,1000,2
Grilled Chicken Sandwich,169,270,70,5,0,1,670,29,2,3,28,40,350,1.75
Grilled Chicken Wrap,208,420,70,13,0.1,4,1050,49,2,2,30,100,350,4
Juicy Jumbo Hot Dog,144,400,50,22,0.5,9,920,34,1,4,14,50,150,4.5
Juicy Jumbo Hot Dog with Cheese,163,460,65,25,0.5,12,1200,37,1,4,18,150,200,4
Juicy Jumbo Hot Dog with Cheese and Bacon,175,510,75,30,0.5,13,1370,37,1,4,20,150,250,4
Junior Crispy,118,290,25,12,0,1.5,540,35,0,4,13,40,125,1.25
Buffalo Junior Crispy,134,310,25,13,0,2,760,36,1,7,13,50,175,2.25
Entrée Salad,424,70,0,0.5,0,0.1,55,15,5,9,4,75,700,1.5
Entrée Salad with Crispy Chicken,557,390,45,20,0,2,710,32,7,11,23,100,1150,3
Entrée Salad with Buffalo Crispy Chicken,624,490,45,24,0,2.5,1810,48,7,25,23,100,1250,3
"Chicken Nuggets, 5 piece",121,330,40,23,0,2,480,16,1,1,15,10,400,1
"Chicken Nuggets, 8 piece",194,520,65,37,0,3.5,760,25,1,1,24,10,650,1.75
"Chicken Nuggets, 12 piece",291,790,100,55,0,5,1140,38,2,2,36,20,1000,2.5
"Buffalo Chicken Nuggets, 5 piece",155,380,40,25,0,2.5,1030,24,1,8,15,10,450,1
"Buffalo Chicken Nuggets, 8 piece",261,620,65,40,0,4,1860,41,1,15,24,10,750,1.75
"Buffalo Chicken Nuggets, 12 piece",391,940,100,61,0,6,2800,62,2,23,37,20,1150,2.5
Classic Poutine (Regular),308,700,65,36,1,12,1890,73,7,1,22,650,950,1.25
Classic Poutine (Large),480,1180,65,56,1,14,2890,145,14,1,28,700,1950,2.25
Bacon Double Cheese Poutine (Large),621,1410,110,73,1.5,23,3990,152,14,2,41,900,2100,3
Bacon Double Cheese Poutine (Regular),348,850,100,49,1.5,20,2280,73,7,1,32,850,1000,1.25
Buffalo Chicken Poutine (Regular),386,860,80,46,1,13,2670,87,7,8,28,650,1000,2
Buffalo Chicken Poutine (Large),726,1530,95,75,1.5,16,5000,181,15,15,41,750,2050,4
Chicken Bacon Ranch Poutine (Regular),379,910,95,52,1,15,2380,81,7,1,30,650,1100,2
Chicken Bacon Ranch Poutine (Large),744,1690,140,91,1.5,20,4580,174,15,2,50,750,2350,5
Pickle Pickle Poutine (Regular),438,900,75,51,1,14,2870,88,7,3,23,700,1050,2.5
Pickle Pickle Poutine (Large),757,1520,85,83,1.5,16,4830,168,15,5,31,800,2150,4
Fries (Kids),114,320,0,13,0.1,1,670,48,5,0,4,30,650,0.75
Fries (Regular),154,430,0,18,0.1,1.5,900,65,6,0,6,40,900,1
Fries (Large),198,550,0,23,0.2,1.5,1160,84,8,0,7,50,1150,1.25
Onion Rings (Regular),85,300,0,18,0.1,1.5,700,33,2,4,4,40,125,1.5
Onion Rings (Large),170,600,0,36,0.3,3,1400,65,4,7,7,75,250,3
Frings,199,620,0,31,0.2,2.5,1360,81,7,4,8,75,750,2.25
Deep Fried Pickles,150,190,0,6,0,0.5,1230,31,1,2,3,20,100,3
Side Salad,212,35,0,0.3,0,0,25,7,3,4,2,40,350,0.75
Bacon,9,40,10,3,0,1,125,0,0,0,2,0,30,0.1
Processed Cheese,17,60,15,4,0.1,2.5,260,2,0,1,3,100,40,0.1
Processed Jalapeno Cheddar (When Offered),7,25,5,2,0.1,1,140,1,0,0,1,40,20,0
Processed Swiss Cheese (When Offered),8,25,5,2,0.1,1,130,1,0,0,2,50,20,0.1
Angus Beef Patty,92,240,50,20,1,5,400,3,0,0,12,30,200,1.5
Buffalo Crispy Chicken Patty,200,420,45,23,0,2.5,1760,33,1,16,19,30,550,1.5
