restaurant_id,name
2,Bacon & Cheddar Angus
2,Bacon McDouble sandwich
2,Big Mac sandwich
2,Cheeseburger
2,Chicken & Bacon Signature McWrap with Crispy Chicken
2,Chicken & Bacon Signature McWrap with Grilled Chicken
2,Chicken Snack Wrap
2,Chipotle Chicken Snack Wrap
2,Chipotle Chicken Snack Wrap with Grilled Chicken
2,Double Big Mac sandwich
2,Double Cheeseburger
2,Double Filet-O-Fish
2,Double Quarter Pounder with Cheese
2,Filet-O-Fish sandwich
2,Grilled Cheese sandwich
2,Grilled Chicken Snack Wrap
2,Hamburger
2,McDouble sandwich
2,Mighty Angus Original
2,Quarter Pounder with Cheese
2,Quarter Pounder BLT
2,Smokehouse BBQ Angus
2,Sweet Chili Signature McWrap with Crispy Chicken
2,Sweet Chili Signature McWrap with Grilled Chicken
2,10 Chicken McNuggets
2,20 Chicken McNuggets
2,4 Chicken McNuggets
2,6 Chicken McNuggets
2,Bacon Ranch Junior Chicken
2,Guacamole & Jalapeño with Crispy Chicken
2,Guacamole & Jalapeño with Grilled Chicken
2,Junior Chicken sandwich
2,McChicken sandwich
2,Tomato & Mozzarella with Crispy Chicken
2,Tomato & Mozzarella with Grilled Chicken
2,Bacon N' Egg Bagel with Multigrain Bagel
2,Bacon N' Egg Bagel with Regular Bagel
2,Bacon 'n Egg McMuffin sandwich
2,"Bacon, Egg & Cheese McGriddles sandwich"
2,Big Breakfast
2,BLT Bagel with Multigrain Bagel
2,BLT Bagel with Regular Bagel
2,Breakfast Burrito
2,Egg BLT McMuffin
2,Egg McMuffin sandwich
2,"Egg, Lettuce and Tomato Bagel with Multigrain Bagel"
2,"Egg , Lettuce and Tomato Bagel with Regular Bagel"
2,English Muffin with Butter
2,"Feta & Tomato More - Ning
McWrap"
2,Fruit & Maple Oatmeal
2,Hash Browns
2,Hotcakes with Syrup and Butter
2,Multigrain Bagel with Butter
2,Regular Bagel with Butter
2,"Sausage and Hash Brown More
ning McWrap"
2,Sausage McGriddles sandwich
2,Sausage McMuffin
2,Sausage ' N Egg McMuffin
2,"Sausage , Egg & Cheese McGriddles sandwich"
2,"Asian Sesame Fusion with Crispy
Chicken"
2,"Asian Sesame Fusion with Grilled
Chicken"
2,Caesar Salad with Crispy Chicken
2,Caesar Salad with Grilled Chicken
2,Greek Salad with Crispy Chicken
2,Greek Salad with Grilled Chicken
2,Side Caesar Salad
2,Side Garden Salad
2,Apple Slices
2,Chocolate Chip Cookie
2,French Fries- Large
2,French Fries - Medium
2,French Fries - Small
2,Fruit ' n Yogurt Parfait
2,Mini Fry
2,Muffin - Banana Chocolate Chunk
2,Muffin - Blueberry
2,Muffin - Carrot
2,Muffin - Cranberry Orange
2,Muffin - Fruit & Fibre
2,Oatmeal Raisin Cookie
2,Poutine
