item_id,calories,fat_grams,sodium_mg,carbohydrates_grams,fibre_grams,sugar_grams,protein_grams
587,770,41,1400,53,2,13,46
588,420,21,1030,34,2,7,24
589,520,28,950,45,3,9,24
590,290,11,700,33,2,7,15
591,600,33,1320,47,6,4,31
592,500,24,1020,35,6,4,38
593,290,13,640,30,3,2,14
594,290,11,680,35,3,8,13
595,240,7,530,29,3,8,17
596,680,38,1310,46,3,8,40
597,420,20,1050,35,2,7,24
598,560,29,830,53,2,4,23
599,740,43,1240,42,3,9,47
600,400,21,580,40,1,4,14
601,250,9,620,31,2,5,11
602,240,9,490,24,3,2,17
603,240,8,510,32,2,7,12
604,370,17,860,34,2,7,21
605,790,43,1310,56,3,15,42
606,520,26,1080,41,3,9,30
607,600,35,1130,42,3,11,31
608,730,37,1080,58,3,16,41
609,520,23,1180,55,6,11,23
610,420,14,880,43,6,11,30
611,410,23,750,26,0,0,26
612,830,46,1490,51,0,0,52
613,170,9,300,10,0,0,10
614,250,14,450,15,0,0,16
615,350,15,720,38,2,5,16
616,570,25,1320,58,5,6,31
617,440,15,1240,42,4,6,36
618,370,20,570,36,2,5,13
619,470,27,650,44,3,6,16
620,630,32,1060,57,4,7,31
621,500,21,990,41,3,7,36
622,620,30,1090,63,3,7,24
623,600,27,1000,63,2,8,24
624,310,14,680,29,2,2,16
625,400,17,1180,44,2,15,16
626,640,38,1120,49,3,2,24
627,540,25,930,62,3,8,17
628,520,22,840,63,2,8,17
629,290,16,680,25,3,2,13
630,360,19,710,30,2,3,16
631,290,11,760,29,2,3,16
632,520,20,810,62,3,7,20
633,490,18,720,63,2,8,20
634,170,4,280,27,2,2,5
635,430,22,800,37,6,3,21
636,290,2.5,90,62,5,33,5
637,160,10,360,16,2,0,1
638,600,16,660,106,3,57,8
639,400,12,560,60,3,6,11
640,370,10,470,61,3,7,11
641,710,42,1380,56,8,3,28
642,400,20,1100,45,2,14,11
643,370,20,790,31,2,2,14
644,430,25,850,31,2,2,20
645,520,28,1350,47,2,15,20
646,410,22,410,29,5,5,25
647,270,12,340,13,4,5,30
648,520,29,1070,30,3,2,30
649,390,18,990,14,2,2,35
650,440,21,790,39,5,4,27
651,310,10,720,24,4,4,33
652,150,8,400,12,1,1,6
653,40,2,70,3,1,1,3
654,40,0,5,10,2,8,0.1
655,160,7,85,22,1,13,2
656,560,27,420,74,6,0,6
657,350,17,260,46,4,0,4
658,240,11,180,31,3,0,3
659,200,2,100,41,3,28,6
660,120,6,90,16,1,0,1
661,430,13,450,73,3,40,7
662,430,16,350,66,3,31,7
663,430,16,330,65,3,35,6
664,360,8,420,67,3,34,6
665,380,14,460,60,7,28,6
666,140,5,125,22,1,12,2
667,510,30,1010,44,3,1,17
