restaurant_id,name
7,Breast - Classic (1 Pc)
7,Breast - Spicy (1 Pc)
7,Leg - Classic (1 Pc)
7,Leg - Spicy (1 Pc)
7,Thigh - Classic (1 Pc)
7,Thigh - Spicy (1 Pc)
7,Wing - Classic (1 Pc)
7,Wing - Spicy (1 Pc)
7,Ghost Pepper Wings (5 Pc)
7,Tenders - Classic (3 Pc)
7,Teders - Spicy (3 Pc)
7,Tenders - Classic (5 Pc)
7,Tenders - Spicy (5 Pc)
7,Nuggets (8 Pc)
7,Nuggets (12 Pc)
7,Popcorn Shrimp (1/4 lb)
7,Butterfly Shrimp (8 Pc)
7,Cajun Fish Fillet (3 Pc)
7,Chicken Sandwich - Classic
7,Chicken Sandwich - Spicy
7,Deluxe Chicken Sandwich - Classic
7,Deluxe Chicken Sandwich - Spicy
7,Biscuit
7,Cajun Fries (Reg)
7,Cajun Fries (Lg)
7,Onion Rings (Reg)
7,Onion Rings (Lg)
7,Coleslaw (Reg)
7,Coleslaw (Lg)
7,Mac & Cheese (Reg)
7,Mac & Cheese (Lg)
7,Red Beans & Rice (Reg)
7,Red Beans & Rice (Lg)
7,Mashed Potatoes with Cajun Gravy (Reg)
7,Mashed Potatoes with Cajun Gravy (Lg)
7,Cajun Gravy (Reg)
7,Cajun Gravy (Lg)
7,Cajun Poutine
7,Buttermilk Ranch
7,Blackened Ranch
7,BoldBQ™
7,Bayou Buffalo™
7,Sweet Heat®
7,Wild Honey Mustard
7,Tartar
7,Cajun Cocktail
7,Strawberry Cream Cheese Pie
7,Cinnamon Apple Pie
7,Tender - Classic (Kids - 1pc)
7,Leg - Classic (Kids - 1pc)
7,Nuggets (Kids - 4pc)
7,Nuggets (Kids - 6pc)
