item_id,calories,fat_grams,sodium_mg,carbohydrates_grams,fibre_grams,sugar_grams,protein_grams
535,290,15,990,8,,1,32
536,290,15,780,8,,1,32
537,150,8,420,3,,1,17
538,150,8,340,3,,1,17
539,330,21,900,9,,1,27
540,330,21,770,9,,1,27
541,150,10,450,5,,0,10
542,150,10,320,5,,0,10
543,690,46,1350,26,,3,42
544,350,15,1780,22,,2,31
545,350,15,1690,22,,2,31
546,560,25,2960,36,,3,52
547,560,25,2810,36,,3,52
548,520,35,1340,22,,2,29
549,770,52,2020,33,,3,44
550,450,28,1520,38,,0,14
551,300,17,1220,26,,1,12
552,400,22,1810,30,,0,21
553,730,42,1700,53,,9,34
554,730,42,1980,54,,9,34
555,740,42,1700,55,,10,34
556,740,42,1980,55,,10,34
557,220,11,450,29,,3,3
558,270,14,580,34,,1,3
559,1350,72,2920,169,,3,15
560,300,19,360,28,,2,4
561,590,39,720,56,,4,7
562,190,15,220,13,,10,1
563,740,58,860,53,,41,3
564,150,3,310,25,,2,5
565,470,11,1020,80,,8,15
566,180,6,590,28,,1,7
567,570,19,1900,89,,4,21
568,110,4,540,15,,2,4
569,310,12,1620,45,,5,11
570,150,10,1010,11,,1,11
571,350,24,2350,25,,2,25
572,720,50,1930,60,,2,25
573,150,15,230,2,,2,0.3
574,60,0,410,14,,12,0.4
575,120,12,290,2,,1,1
576,60,6,450,2,,0,0.1
577,70,0,270,18,,17,0.1
578,120,11,150,4,,4,0
579,100,9,230,6,,4,0
580,30,0.1,330,6,,5,0.5
581,340,22,240,31,,7,4
582,250,12,260,33,,11,3
583,120,5,590,7,,0,10
584,150,8,420,4,,1,16
585,260,17,670,11,,1,15
586,390,26,1010,17,,1,22
