restaurant_id,name
3,#1 Canuck Classic
3,#2 Great Canadian Club
3,#3 Turkey Rancher
3,#4 Kickin' Chicken
3,#5 Chicken Rancher
3,#6 Teriyaki Crunch
3,#7 Green Goddess Chicken
3,#8 Steak'n Bacon
3,#9 Stampede Brisket
3,"#10 Steak ""N"" Egg"
3,#11 Green Goddess
3,#12 Mozzarella Bella
3,#13 Suprimo
3,#14 Little Italy
3,#15 Meatballer
3,"Black Forest Ham (6"")"
3,"Cold Cut Combo (6"")"
3,"Crispy Chicken (includes Smoky Honey Mustard) (6"")"
3,"Italian B.M.T.  (6"")"
3,"Meatball Marinara (6"")"
3,"Rotisserie-Style Chicken (6"")"
3,"Steak & Cheese (6"")"
3,"Sweet Onion Chicken Teriyaki (6"")"
3,"Tuna (includes Mayonnaise) (6"")"
3,"Turkey Breast (6"")"
3,"Veggie Delite (6"")"
3,"Grilled Chicken (6"")"
3,"Pizza Sub Melt (on Italian bread) (6"")"
3,"Veggie Patty (6"")"
3,Black Forest Ham (Kids)
3,Turkey Breast (Kids)
3,Veggie Delite (Kids)
3,Crispy Chicken Sidekick (includes Smoky Honey Mustard)
3,Honey Mustard Ham Sidekick
3,Savoury Ranch Turkey Sidekick
3,Black Forest Ham (Salad)
3,Cold Cut Combo (Salad)
3,Crispy Chicken (Salad)
3,Italian B.M.T. (Salad)
3,Meatball Marinara (Salad)
3,Rotisserie-Style Chicken (Salad)
3,Steak (Salad)
3,Sweet Onion Chicken Teriyaki (Salad)
3,Tuna (includes Mayonnaise) (Salad)
3,Turkey Breast (Salad)
3,Veggie Delite (Salad)
3,"Grilled Chicken (6"")"
3,"Pizza Sub Melt (6"")"
3,"Veggie Patty (6"")"
3,Crispy Chicken Bacon Peppercorn Ranch Rice Bowl
3,Green Goddess Veggie Rice Bowl
3,Southwest Steak & Avocado Rice Bowl
3,Sweet Onion Chicken Teriyaki Rice Bowl
3,Crispy Chicken Bacon Peppercorn Ranch Rice Wrap
3,Green Goddess Veggie Rice Wrap
3,Southwest Steak & Avocado Rice Wrap
3,Sweet Onion Chicken Teriyaki Rice Wrap
3,"Egg & Bacon (6"" Breakfast Sandwich)"
3,"Egg & Cheese (6"" Breakfast Sandwich)"
3,"Egg & Ham (6"" Breakfast Sandwich)"
3,Egg & Bacon (Breakfast Wrap)
3,Egg & Cheese (Breakfast Wrap)
3,Egg & Ham (Breakfast Wrap)
3,Egg & Bacon Sidekick (Breakfast)
3,Egg & Cheese Sidekick (Breakfast)
3,Egg & Ham Sidekick (Breakfast)
3,Chocolate Chunk Cookie
3,Double Chocolate Cookie**
3,Chocolate Chip with M&M® Candies Cookie
3,Oatmeal Raisin Cookie**
3,Raspberry Cheesecake Cookie**
3,White Chip Macadamia Nut Cookie
3,GoGo squeeZ® Apple
3,"Brownie, Gluten Free**"
3,Beef & Barley (Soup)
3,Beef Chili (Soup)
3,Cream of Broccoli (Soup)
3,Cream of Mushroom (Soup)
3,Chicken Noodle (Soup)
3,Loaded Baked Potato (Soup)
