item_id,calories,fat_grams,sodium_grams,carbohydrates_grams,fibre_grams,sugar_grams,protein_grams
268,3,0,0,0,0,0,0
269,4,0,0,0,0,0,0
270,5,0,0,0,0,0,0
271,5,0,0,0,0,0,0
272,3,0,0,0,0,0,0
273,4,0,0,0,0,0,0
274,5,0,0,0,0,0,0
275,5,0,0,0,0,0,0
276,3,0,0,0,0,0,0
277,4,0,0,0,0,0,0
278,5,0,0,0,0,0,0
279,5,0,0,0,0,0,0
280,70,4,25,8,0,8,1
281,100,6,40,11,0,11,1
282,120,8,50,14,0,13,1
283,150,9,55,18,0,17,1
284,130,8,45,16,0,16,1
285,200,13,80,22,0,21,2
286,250,15,95,28,0,27,2
287,300,18,115,35,0,34,3
288,80,3,70,9,0,8,6
289,120,4.5,95,12,0,11,8
290,170,6,135,16,0,15,11
291,90,3.5,80,10,0,9,6
292,140,5,115,14,0,13,10
293,190,7,160,19,0,18,13
294,110,1.5,90,24,1,17,1
295,140,2,115,31,1,22,1
296,190,2.5,150,41,1,29,1
297,250,2.5,200,54,1,38,1
298,260,10,180,39,1,30,3
299,330,12,230,50,1,39,3
300,430,17,310,66,1,51,5
301,570,22,410,88,1,68,6
302,220,3,180,48,1,34,1
303,280,4,230,62,2,43,1
304,380,5,310,82,2,58,2
305,500,7,410,108,3,76,3
306,250,9,250,43,0,36,1
307,330,11,310,55,0,45,1
308,430,15,420,73,0,60,2
309,570,20,550,96,0,80,2
310,110,2,50,19,0,19,4
311,160,3,110,28,0,28,6
312,240,4.5,160,38,0,38,8
313,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0
315,110,6,35,13,0,13,1
316,150,8,45,20,0,19,1
317,220,13,70,27,0,26,2
318,70,1,30,14,0,14,2
319,100,1,40,21,0,21,3
320,140,1.5,55,28,0,28,3
321,0,0,4,0,0,0,0
322,0,0.1,5,0,0,0,0
323,0,0.1,5,0,0,0,0
324,120,6,30,15,0,15,1
325,160,7,35,22,0,22,1
326,240,12,55,30,0,30,2
327,180,12,60,18,0,16,1
328,220,14,70,25,0,22,2
329,300,19,105,32,0,29,2
330,230,11,75,31,0,29,2
331,320,16,110,41,0,38,3
332,420,22,140,55,1,51,4
333,140,1,30,31,0,29,3
334,190,1.5,40,41,0,39,4
335,260,2.5,55,55,1,52,5
336,390,17,190,58,1,53,3
337,500,22,260,74,2,68,4
338,630,27,330,94,2,87,6
339,400,17,150,60,0,56,2
340,510,22,200,77,0,72,3
341,640,27,250,98,1,92,4
342,390,17,170,59,0,59,3
343,500,22,230,75,0,70,4
344,630,27,290,95,1,89,5
345,400,17,210,62,1,57,3
346,520,22,290,80,1,73,4
347,650,27,360,102,2,93,5
348,440,18,160,67,0,61,2
349,550,23,210,85,0,78,3
350,690,29,260,108,0,99,4
351,400,17,120,63,0,58,2
352,520,22,160,81,0,74,3
353,660,27,200,104,0,95,4
354,220,1,60,51,0,46,3
355,310,2,95,69,0,62,5
356,420,2.5,125,92,0,83,6
357,170,0,30,43,0,40,0
358,230,0,40,57,0,53,0
359,310,0,50,76,0,71,0
360,220,0,30,56,0,52,0
361,310,0,40,76,0,71,0
362,410,0.1,55,102,0,95,0
363,90,0,10,23,0,21,0
364,110,0,10,30,0,28,0
365,140,0,15,39,0,36,0
366,110,0,10,29,0,26,0
367,150,0,15,39,0,35,0
368,190,0,20,50,0,45,0
369,110,0,15,28,0,25,0
370,150,0,20,38,0,34,0
371,190,0,25,49,0,44,0
372,70,0.1,0,18,0,18,0.1
373,110,0.1,1,27,0,27,0.1
374,140,0.1,1,35,0,35,0.1
375,90,0.1,0,22,0,22,0.1
376,130,0.1,1,32,0,32,0.1
377,170,0.1,1,42,0,42,0.1
378,330,11,280,54,2,23,6
379,340,18,170,40,1,25,3
380,240,8,240,38,1,16,4
381,250,8,240,38,1,16,4
382,360,22,120,40,0,28,2
383,220,8,190,33,1,12,4
384,310,14,230,45,1,20,5
385,330,21,210,34,1,20,3
386,320,21,210,31,1,17,3
387,290,21,210,24,1,10,3
388,360,24,220,34,2,19,3
389,260,10,240,39,1,17,4
390,310,21,210,28,1,14,3
391,320,22,120,30,0,18,2
392,250,7,190,41,1,21,4
393,240,9,210,36,1,13,4
394,360,22,120,40,0,28,2
395,220,7,190,33,1,12,4
396,310,14,230,43,1,18,5
397,250,8,240,39,1,17,4
398,310,18,230,34,1,16,3
399,330,18,230,40,1,22,3
400,280,18,230,26,1,9,3
401,290,18,230,30,1,12,3
402,300,18,230,33,1,16,3
403,220,8,240,32,1,10,4
404,340,18,180,40,1,24,3
405,280,18,180,26,1,11,3
406,300,16,180,32,1,16,3
407,220,7,190,33,1,12,4
408,240,8,210,38,1,16,4
409,230,7,190,38,1,17,4
410,270,8,210,49,1,15,4
411,200,7,190,29,1,8,4
412,360,21,240,39,2,21,4
413,250,7,190,40,1,19,4
414,80,3,60,13,1,9,1
415,80,3.5,70,11,0,6,1
416,70,3.5,70,8,0,3,1
417,90,4.5,75,11,1,6,1
418,50,1.5,25,8,0,5,1
419,80,3.5,64,12,0,7,1
420,60,3.5,65,8,0,3,1
421,70,3.5,65,9,0,4,1
422,70,3.5,65,8,0,3,1
423,90,5,50,11,0,7,1
424,80,5,50,7,0,3,1
425,80,5,50,8,0,4,1
